sector_id_i	sector_id_j	corr
1	1	0.0187437
1	2	0.0070029
1	3	0.0099533
1	4	0.0088188
1	5	0.0111359
1	6	0.0089922
1	7	0
1	8	0.0128465
1	9	0.0118486
1	10	0.0062305
1	11	0.0097919
1	12	0.0096685
1	13	0.0043386
1	14	0.005148
1	15	0.0051942
1	16	0.0033831
1	17	0.0028096
1	18	0.0116098
1	19	0.0116098
1	20	0.0116098
1	21	0.0271113
1	22	0.0116098
1	23	0.0271113
1	24	0.0271113
1	25	0
1	26	0
1	27	0.0127968
1	28	0.0098338
1	29	0.0173124
1	30	0.0098338
1	31	0.0182271
1	32	0.0127076
1	33	0.0098338
1	34	0.0098221
1	35	0.0271113
2	1	0.0070029
2	2	0.0040628
2	3	0.0060942
2	4	0.0053996
2	5	0.0048994
2	6	0.004284
2	7	0
2	8	0.0086158
2	9	0.005213
2	10	0.0034622
2	11	0.0041015
2	12	0.0034204
2	13	0.0026579
2	14	0.0016048
2	15	0.0016192
2	16	0.0044334
2	17	0.0018446
2	18	0.0105919
2	19	0.0105919
2	20	0.0105919
2	21	0.0187799
2	22	0.0105919
2	23	0.0187799
2	24	0.0187799
2	25	0
2	26	0
2	27	0.0153102
2	28	0.0077177
2	29	0.0144099
2	30	0.0077177
2	31	0.0174909
2	32	0.0138171
2	33	0.0077177
2	34	0.0101404
2	35	0.0187799
3	1	0.0099533
3	2	0.0060942
3	3	0.0110786
3	4	0.0098159
3	5	0.0078691
3	6	0.0065405
3	7	0
3	8	0.0161779
3	9	0.0083727
3	10	0.0061726
3	11	0.0064701
3	12	0.0051217
3	13	0.0051658
3	14	0.0028153
3	15	0.0028406
3	16	0.0079337
3	17	0.0031939
3	18	0.020272
3	19	0.020272
3	20	0.020272
3	21	0.0340789
3	22	0.020272
3	23	0.0340789
3	24	0.0340789
3	25	0
3	26	0
3	27	0.0287577
3	28	0.0156321
3	29	0.0285902
3	30	0.0156321
3	31	0.0313914
3	32	0.0255186
3	33	0.0156321
3	34	0.0189954
3	35	0.0340789
4	1	0.0088188
4	2	0.0053996
4	3	0.0098159
4	4	0.0086971
4	5	0.0069722
4	6	0.005795
4	7	0
4	8	0.0143339
4	9	0.0074184
4	10	0.005469
4	11	0.0057327
4	12	0.004538
4	13	0.004577
4	14	0.0024944
4	15	0.0025168
4	16	0.0070294
4	17	0.0028298
4	18	0.0179614
4	19	0.0179614
4	20	0.0179614
4	21	0.0301946
4	22	0.0179614
4	23	0.0301946
4	24	0.0301946
4	25	0
4	26	0
4	27	0.0254799
4	28	0.0138504
4	29	0.0253315
